"","Row.names","logFC.x","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","Threshold.x","logFC.y","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","Threshold.y"
"349","Ccdc136",0.160659174870852,7.06636318171865,0.994829931456865,0.34104262679535,0.561705079734018,-5.73310924057301,"Non-Significant",-0.0894012425553754,7.06636318171865,-0.559538145053311,0.586924036528568,0.738353161498352,-6.3635696250629,"Non-Significant"
"350","Ccdc149",-0.184092306628329,7.28441517792508,-1.99388825762043,0.0713547369129913,0.235778131787225,-4.48883845896057,"Non-Significant",-0.256193719037427,7.28441517792508,-2.80826030502611,0.0169100055278262,0.0845812269113224,-3.40140776576563,"Non-Significant"
"351","Ccdc32",-0.151840980211194,6.87565097968032,-0.926156855847004,0.374091892953816,0.591004150231816,-5.77492116050947,"Non-Significant",-0.198477599219558,6.87565097968032,-1.24147755723991,0.240061522850775,0.417719376411073,-5.75061437783882,"Non-Significant"
"352","Ccdc85b",-0.0478967376998538,7.32757167735746,-0.229135349155231,0.82293712467039,0.907126355904568,-6.24766536237391,"Non-Significant",-0.418997185686803,7.32757167735746,-2.01402132956623,0.0689292843545297,0.192052713139908,-4.72740839688456,"Non-Significant"
"353","Ccdc91",-0.0939694028927454,7.26472955893491,-0.683670846343847,0.508224374917397,0.701168405364595,-6.02048199332629,"Non-Significant",-0.217946507280317,7.26472955893491,-1.60285305020738,0.137061691230409,0.294199718864321,-5.32839473887633,"Non-Significant"
"354","Cck",0.0958429500208293,7.85108252893372,0.5917637994177,0.565883950433722,0.743631308592254,-6.12024584749288,"Non-Significant",-0.0757364126704108,7.85108252893372,-0.470518897767718,0.647108160544347,0.779693432549211,-6.48032102090998,"Non-Significant"
"355","Ccm2",-0.0928570963516719,7.54874669636123,-0.819410751450863,0.429820670952349,0.639190257241809,-5.94179005375157,"Non-Significant",-0.0756060185234579,7.54874669636123,-0.673094390596475,0.514677188336858,0.681293875772082,-6.34530474932257,"Non-Significant"
"356","Ccnd2",-0.0809055435999477,6.8130263366864,-0.49575314347515,0.62975204251545,0.787843925823436,-6.07430249211172,"Non-Significant",-0.275068269381626,6.8130263366864,-1.71812621982574,0.113546717855336,0.261978852856013,-5.11648512024425,"Non-Significant"
"357","Ccng1",-0.0570460164713982,6.98038950382555,-0.377328991420449,0.713054635681731,0.842481547887876,-6.13922703437241,"Non-Significant",-0.0108273628302049,6.98038950382555,-0.0734771159053344,0.942735787236828,0.970663395062302,-6.52369288711014,"Non-Significant"
"358","Ccni",0.307691028375327,8.27850526513251,2.88164352139588,0.0148232817310766,0.111627546591524,-3.08629729878684,"Non-Significant",0.0285179535814972,8.27850526513251,0.268218048271817,0.793457997639424,0.879574606695508,-6.57929477343791,"Non-Significant"
"359","Ccny",0.0133919425923033,8.97192488678147,0.19815442708897,0.846512031766287,0.91709845873736,-6.34287218005815,"Non-Significant",-0.0673193490629824,8.97192488678147,-0.997699832073086,0.33970916046537,0.523769251676511,-6.14490336921338,"Non-Significant"
"360","Ccp110",-0.124151496588836,6.76859311258966,-0.917433061982959,0.378447428531279,0.594076999854254,-5.76138100839966,"Non-Significant",-0.104530609309626,6.76859311258966,-0.798094436303001,0.441580945423566,0.618989629288152,-6.17414747562535,"Non-Significant"
"361","Ccsap",0.230200236525967,7.0847740903197,2.35716128146834,0.0378439799739296,0.173302415049532,-3.88314687337247,"Non-Significant",0.128188783458609,7.0847740903197,1.32984535077183,0.210288872049143,0.386503818389984,-5.6493438718617,"Non-Significant"
"362","Ccser2",-0.102161865600033,8.31692237107403,-1.26821662768899,0.230712942198099,0.44803924519989,-5.54027951945035,"Non-Significant",-0.173552496182136,8.31692237107403,-2.17496038295271,0.05214427398944,0.162435125175903,-4.52756491390675,"Non-Significant"
"363","Cct2",-0.0122334441864389,8.66387377135328,-0.115930561364979,0.909781462818103,0.952284766679489,-6.34489238584702,"Non-Significant",-0.00176634166560419,8.66387377135328,-0.0168361595260951,0.986866584869297,0.994201156291588,-6.64790766243209,"Non-Significant"
"364","Cct4",-0.15382602719786,7.85968890640253,-1.71351357880779,0.114413698411235,0.30649756560559,-4.93338482807383,"Non-Significant",-0.0470654605780485,7.85968890640253,-0.531029828213528,0.605876054600149,0.750013691333792,-6.45376710070092,"Non-Significant"
"365","Cct5",-0.0451683717882965,8.51078619979531,-0.406947622984955,0.691795069136747,0.828427966497463,-6.25139995040365,"Non-Significant",0.160881603074577,8.51078619979531,1.46431423667881,0.170888306337505,0.339895963669095,-5.58950258492394,"Non-Significant"
"366","Cct8",-0.0251295752990739,8.62400494168508,-0.217376734005894,0.83186477591376,0.911186023233214,-6.32616832476384,"Non-Significant",-0.0723284296375155,8.62400494168508,-0.629357192340163,0.541870594655342,0.704561718038672,-6.43866408678109,"Non-Significant"
"367","Cd200",0.181681972807305,7.65284781215456,1.36410780005908,0.199593289334763,0.40745286700794,-5.38565722228355,"Non-Significant",0.0674556155322934,7.65284781215456,0.50922384450679,0.620580549942275,0.757750769443438,-6.44685250799482,"Non-Significant"
"368","Cd2bp2",0.0999493776985725,7.25562041525236,1.00600320728215,0.335872567639712,0.557935374308369,-5.73961591665294,"Non-Significant",0.0653561659397814,7.25562041525236,0.66462189462747,0.519881208080492,0.686841108726225,-6.31492643670318,"Non-Significant"
"369","Cd81",0.378414960547998,9.10121863500911,5.00028219303401,0.000393264966002036,0.0313570977303388,0.384556887272511,"Significant",0.369060665994818,9.10121863500911,4.87116137621288,0.00048315988936673,0.0159737373179659,0.0551326715265361,"Significant"
"370","Cd99l2",0.0794365329131761,7.70540084848951,0.825042840773453,0.426748336709167,0.636716973482967,-5.94413178272352,"Non-Significant",0.108087678641986,7.70540084848951,1.13358393576238,0.280894395330883,0.462218132598423,-5.94098583680111,"Non-Significant"
"371","Cdc16",0.161149595333469,6.85048342074939,1.64314390420696,0.128393472560687,0.322291392696317,-4.93006732902681,"Non-Significant",0.18980278865918,6.85048342074939,1.98346921737697,0.0726409676977107,0.197938466674312,-4.71041578675537,"Non-Significant"
"372","Cdc23",-0.0626812583242948,6.94142902887427,-0.658846864248129,0.523446047714598,0.711978720588895,-5.98353805254587,"Non-Significant",0.00893769493371988,6.94142902887427,0.0965360894220563,0.924818327425554,0.961711732125308,-6.51592998247039,"Non-Significant"
