"order","coverage"
1,0.118906064209275
2,0.119047619047619
3,0.237812128418549
4,0.238095238095238
5,0.238095238095238
6,0.238095238095238
7,0.238095238095238
8,0.356718192627824
9,0.475624256837099
10,0.476190476190476
11,0.476190476190476
12,0.476190476190476
13,0.947867298578199
14,0.952380952380952
15,1.07015457788347
16,1.07142857142857
17,1.07142857142857
18,1.42348754448399
19,1.8957345971564
20,1.9047619047619
21,1.9047619047619
22,1.9047619047619
23,2.02140309155767
24,2.02380952380952
25,2.02380952380952
26,2.48815165876777
27,2.61593341260404
28,2.73483947681332
29,2.85374554102259
30,2.97265160523187
31,3.09155766944114
32,3.0952380952381
33,3.21046373365042
34,3.21428571428571
35,3.32936979785969
36,3.33333333333333
37,3.33333333333333
38,3.44827586206897
39,3.45238095238095
40,3.45238095238095
41,3.56718192627824
42,3.68608799048751
43,3.80499405469679
44,3.92390011890606
45,3.92857142857143
46,4.04280618311534
47,4.16171224732461
48,4.28061831153389
49,4.28571428571429
50,4.28571428571429
51,4.28571428571429
52,4.28571428571429
53,4.28571428571429
54,4.39952437574316
55,4.51843043995244
56,4.52380952380952
57,4.52380952380952
58,4.63733650416171
59,4.75624256837099
60,4.87514863258026
61,4.99405469678954
62,5
63,5
64,5
65,5.11296076099881
66,5.11904761904762
67,5.45670225385528
68,5.58858501783591
69,5.70749108204518
70,5.71428571428571
71,5.71428571428571
72,5.71428571428571
73,5.71428571428571
74,5.71428571428571
75,5.71428571428571
76,5.82639714625446
77,5.83333333333333
78,5.83333333333333
79,5.83333333333333
80,5.83333333333333
81,5.83333333333333
82,5.83333333333333
83,5.94530321046373
84,5.95238095238095
85,5.95238095238095
86,6.2870699881376
87,6.30952380952381
88,6.30952380952381
89,6.30952380952381
90,6.42092746730083
91,6.42857142857143
92,6.53983353151011
93,6.54761904761905
94,6.54761904761905
95,6.65873959571938
96,6.66666666666667
97,6.66666666666667
98,6.66666666666667
99,6.66666666666667
100,6.66666666666667
101,6.66666666666667
102,6.77764565992866
103,6.78571428571429
104,6.78571428571429
105,6.89655172413793
106,6.90476190476191
107,7.34597156398104
108,7.4910820451843
109,7.5
110,7.60998810939358
111,7.72889417360285
112,7.73809523809524
113,7.73809523809524
114,7.73809523809524
115,7.73809523809524
116,7.84780023781213
117,7.85714285714286
118,7.9667063020214
119,7.97619047619048
120,8.08561236623068
121,8.20451843043995
122,8.21428571428571
123,8.21428571428571
124,8.21428571428571
125,8.32342449464923
126,8.33333333333333
127,8.33333333333333
128,8.4423305588585
129,8.45238095238095
130,8.45238095238095
131,8.56123662306778
132,8.89679715302491
133,9.03686087990488
134,9.04761904761905
135,9.15576694411415
136,9.16666666666667
137,9.16666666666667
138,9.59715639810427
139,9.64285714285714
140,9.64285714285714
141,9.64285714285714
142,10.0710900473934
143,10.1190476190476
144,10.2259215219976
145,10.5575326215896
146,10.5952380952381
147,10.5952380952381
148,10.5952380952381
149,10.5952380952381
150,10.5952380952381
151,10.5952380952381
152,10.5952380952381
153,10.5952380952381
154,10.7015457788347
155,10.7142857142857
156,10.7142857142857
157,10.7142857142857
158,10.820451843044
159,10.8333333333333
160,10.8333333333333
161,10.8333333333333
162,10.8333333333333
163,10.9393579072533
164,10.952380952381
165,11.2692763938316
166,11.4149821640904
167,11.4285714285714
168,11.5338882282996
169,11.547619047619
170,11.6527942925089
171,11.6666666666667
