"x"
"AATYK"
"aatyk1"
"mKIAA0641"
"Aatk"
"AI325092"
"Abl"
"E430008G22Rik"
"c-Abl"
"Abl1"
"ACIC2"
"Accn1"
"BNC1"
"BNaC1"
"BNaC1a"
"Mdeg"
"Asic2"
"ABP620"
"Acf7"
"Aclp7"
"MACF"
"R74989"
"mKIAA0465"
"Macf1"
"Adra-2c"
"[a]2C"
"alpha2-C4"
"alpha2C"
"Adra2c"
"Adtb1"
"b2b1660Clo"
"Ap1b1"
"Cav3.1d"
"[a]1G"
"a1G"
"alpha-1G"
"mKIAA1123"
"Cacna1g"
"Beta3"
"CAB3"
"Ca(v)beta3"
"Cchb3"
"Cacnb3"
"Ckb"
"B-CK"
"Bck"
"Ck-3"
"Ck3"
"Ckbb"
"AW558298"
"CBP"
"CBP/p300"
"KAT3A"
"p300/CBP"
"Crebbp"
"AI385681"
"Crkas"
"Bcar1"
"Dlx"
"Dlx-1"
"Dlx1"
"DMR-N9"
"Dm9"
"Dmwd"
"Atr1"
"Drpla"
"atrophin-1"
"Atn1"
"Cekl"
"Mep"
"Ephb6"
"AW261790"
"Eps8"
"COUP-TF1"
"COUP-TFI"
"COUPTFA"
"Erbal3"
"SVP44"
"Tcfcoup1"
"Nr2f1"
"FAK"
"FRNK"
"Fadk"
"mKIAA4203"
"p125FAK"
"Ptk2"
"A630082H08Rik"
"FAS"
"Fasn"
"ZFYVE3"
"Fgd1"
"9930124L22Rik"
"AI448945"
"Fnbp2"
"srGAP3"
"Srgap2"
"AW228947"
"D17H6S113E"
"Frg-1"
"Fsrg-1"
"Fsrg1"
"Nat"
"Ring3"
"Rnf3"
"mKIAA4005"
"Brd2"
"A-2"
"BC031437"
"Grca"
"Gpr162"
"GluRgamma2"
"KA2"
"Grik5"
"GluN2C"
"NMDAR2C"
"NR2C"
"Grin2c"
"H19"
"1110014O20Rik"
"B230339E18Rik"
"Stank"
"Hipk2"
"2600009P04Rik"
"Huc"
"PLE21"
"mHuC"
"Elavl3"
"A330103N21Rik"
"CD221"
"D930020L01"
"IGF-1R"
"hyft"
"Igf1r"
"AA960307"
"BAP004"
"C130039L05Rik"
"Jak1"
"Jund1"
"Jund"
"AI326795"
"ERG1"
"LQT"
"Lqt2"
"M-erg"
"Merg1"
"merg1a"
"merg1b"
"Kcnh2"
"IRK-2"
"IRK2"
"Kir2.2"
"MB-IRK2"
"Kcnj12"
"IRK3"
"Kcnf2"
"MB-IRK3"
"Kcnj4"
"BPFD#36"
"Gyltl1a"
"Large"
"Mbp-1"
"Mbp1"
"enr"
"fg"
"froggy"
"myd"
"Large1"
"MTF-1"
"Thyls"
"Mtf1"
"Cas-L"
"CasL"
"HEF1"
"MEF1"
"Nedd-9"
"Nedd9"
"AI323587"
"Np220"
"Zfml"
"Znf638"
"mNP220"
"Zfp638"
"5530400B01Rik"
"AI593498"
"Nttp1"
"Dusp8"
"2210403E04Rik"
"2210412K19Rik"
"AA409584"
"d1401"
"mKIAA4192"
"Ogdh"
"Hftm"
"Per"
"m-rigui"
"mPer1"
"Per1"
"p85beta"
"Pik3r2"
"DRES9"
"Mpt-1"
"Nir-2"
"PITPnm 1"
"Pitpnm"
"R75447"
"Rd9"
"RdgB"
"RdgB1"
"Pitpnm1"
"2810428A13Rik"
"AA589422"
"AW457381"
"OCT"
"PlexA2"
"Plxn2"
"mKIAA0463"
"Plxna2"
"IB1"
"JIP-1"
"Jip1"
"Prkm8ip"
"Skip"
"mjip-2a"
"Mapk8ip1"
"1500012B19Rik"
"AJ245569"
"AW496491"
"ORF37"
"Rab6ip1"
"mKIAA1091"
"Dennd5a"
"AI326412"
"C86362"
"E130011G04"
"GAPIII"
"hlb381"
"scat"
"Rasa3"
"Gnds"
"Rgds"
"mKIAA1308"
"Ralgds"
"5730405M06Rik"
"A230020K14Rik"
"RIP13"
"Rxrip13"
"mKIAA1047"
"Ncor1"
"Sema"
"Seman"
"VIb"
"semaZ"
"Sema6b"
"2310012I02Rik"
"2610001A11Rik"
"AA062172"
"AA589460"
"BC004088"
"Ski"
"SMRT"
"SMRTe"
"Ncor2"
"2010012F07Rik"
"AI448042"
"AW547029"
"E030034B15"
"R74830"
"mKIAA0096"
"Snrk"
"SOS-2"
"mSOS-2"
"Sos2"
"Spnb3"
"mKIAA0302"
"Sptbn2"
"SIM"
"Stim1"
"Gek1"
"Lok"
"mKIAA4026"
"Stk10"
"Tbr1"
"AI326901"
"Tesk1"
"2610202A04Rik"
"AA409221"
"D16Ium21"
"D16Ium21e"
"TPRD"
"mKIAA4119"
"Ttc3"
"Wnt-4"
"Wnt4"
"FOG"
"Fog1"
"Zfpm1"
"6720461J16Rik"
"D130048F08Rik"
"DATF-1"
"DIO-1"
"Datf1"
"dido"
"Dido1"
"D17Rp17"
"D17Rp17e"
"MAPKKK4"
"MEKK 4"
"MTK1"
"Mek4b"
"Mekk4"
"RP17"
"Rp17a"
"Tas"
"mKIAA0213"
"Map3k4"
"9530046C02"
"AA536749"
"AI647711"
"C76423"
"RIP3"
"Rhoip3"
"mKIAA0864"
"p116Rip"
"Mprip"
"AI315320"
"AI851618"
"Scml1"
"Scml3"
"Scmh1"
"4930558F19Rik"
"AU040868"
"Atpc1h"
"Ih"
"Atp11a"
"C79304"
"Hem-2"
"Hem2"
"Nap1"
"mKIAA0587"
"mh19"
"p125Nap1"
"Nckap1"
"Ack"
"Ack-1"
"Ack1"
"Cdgip"
"Pyk1"
"Tnk2"
"2310066G09Rik"
"D8Ertd91e"
"Mfhas1"
"5330431C14Rik"
"AU022508"
"C85457"
"D8Ertd594e"
"Wwc2"
"Zimp7"
"Zmiz2"
"Cool"
"PIX"
"Pak3bp"
"betaPix"
"betaPix-b"
"betaPix-c"
"cool-1"
"mKIAA0142"
"p85Cool1"
"p85SPR"
"Arhgef7"
"GANP"
"mKIAA0572"
"Mcm3ap"
"2900009G18Rik"
"AU040105"
"Ext1l"
"mKIAA0519"
"Extl3"
"MEG2"
"Ptpn9"
"1110048B16Rik"
"2010203A17Rik"
"C76856"
"FKHRL1"
"Fkhr2"
"Foxo3a"
"Foxo3"
"Brd5"
"HUNK1"
"MCAP"
"WI-11513"
"Brd4"
"JP-3"
"Jp3"
"Jph3"
"1200007D05Rik"
"3202002H23Rik"
"AW494485"
"Nisch"
"2610511G02Rik"
"AI481352"
"AW742896"
"Lpin2"
"2310001H13Rik"
"AI413908"
"AI467545"
"hyrt"
"mKIAA1042"
"Trak1"
"1110028I04Rik"
"2810442O16Rik"
"AI414693"
"bs"
"Tbc1d20"
"5830451P18Rik"
"AU015341"
"Duplin"
"HELSNF1"
"mKIAA1564"
"Chd8"
"6230400O18Rik"
"ANC-2H01"
"ZASC1"
"Znf639"
"Zfp639"
"6230425C21Rik"
"b2b1863Clo"
"b2b553Clo"
"Plxnd1"
"1810041M12Rik"
"4933427L07Rik"
"C030019K18Rik"
"Dym"
"2310011D08Rik"
"AI480459"
"mKIAA1743"
"Dab2ip"
"1100001C18Rik"
"2500002E12Rik"
"A330076K04Rik"
"mKIAA0790"
"Sash1"
"0610011M24Rik"
"Dp1l1"
"Reep6"
"3830417M17Rik"
"AW558566"
"D6Ertd213e"
"MKP-7"
"MKP7"
"Mkpm"
"Dusp16"
"Idn3"
"Nipbl"
"1200010B10Rik"
"mKIAA0306"
"Cic"
"1300004C11Rik"
"2610510G03Rik"
"AI225816"
"AU041069"
"TFIIIC110"
"mKIAA0011"
"Gtf3c2"
"2410015A15Rik"
"AI414901"
"DP97"
"Ddx54"
"AU022687"
"D11Bhm178e"
"D11Bhm179e"
"Kiaa0100"
"mKIAA0100"
"2610507B11Rik"
"2610524D08Rik"
"AA408415"
"AU022494"
"Deltex2"
"Dtx2"
"2610005L19Rik"
"AL022631"
"C230091E20Rik"
"R75304"
"Ranbp20"
"mKIAA0370"
"Xpo6"
"AA682102"
"D9Ertd278e"
"1700017B05Rik"
"1700028N03Rik"
"AI414328"
"D1Bwg1363e"
"Chpf"
"4932416N17Rik"
"curt"
"mKIAA0350"
"Clec16a"
"2310004I03Rik"
"4932434F09Rik"
"AI666706"
"DPP VIII"
"Dpp8"
"9130020K17Rik"
"D2Bwg1005e"
"Ttc17"
"5830413E08Rik"
"AA415483"
"REDD1"
"Rtp801"
"dig2"
"Ddit4"
"1500041I23Rik"
"2610100B20Rik"
"AA387005"
"Gon4l"
"1700124K17Rik"
"4432409D24Rik"
"zipzap/p200"
"Arid2"
"5730503J23Rik"
"Pumm2"
"Pum2"
"ARTD14"
"AW558171"
"PARP7"
"Tiparp"
"2810429I12Rik"
"AI463719"
"Csnk1g2"
"AA409398"
"AU041366"
"TEMO"
"mKIAA0077"
"Psme4"
"AA959601"
"AW538057"
"B230309H04Rik"
"D14Wsu89e"
"Zizimin1"
"mKIAA1058"
"Dock9"
"1700083E03Rik"
"AI035702"
"AW049900"
"mKIAA0248"
"B830018M07Rik"
"Bai1"
"R75078"
"mKIAA4089"
"Adgrb1"
"1110014H17Rik"
"AI894167"
"Rnpepl1"
"1810033K10Rik"
"AI606441"
"C530022L24Rik"
"CReP"
"Ppp1r15b"
"AI551216"
"C330006A16Rik"
"Mzf-2"
"Mzf2"
"Zfp121"
"Zfp98"
"Znf42"
"Mzf1"
"Cryabp1"
"Hivep1"
"1110029L11Rik"
"2610108L02Rik"
"AA673476"
"AW124741"
"Ubn1"
"AU019467"
"D11Bwg0410e"
"DBF3/PRP8"
"Prp8"
"Sfprp8l"
"Prpf8"
"8030453L17Rik"
"Ash1"
"E430018P19Rik"
"Kmt2h"
"Ash1l"
"5830457O10Rik"
"Ctf8"
"Derpc"
"Chtf8"
"3830431H01Rik"
"9030412M04Rik"
"AI852669"
"AW495050"
"Rassf2"
"Neurl4"
"Cat-1"
"p95Cat"
"Git1"
"A630096F19"
"AI256361"
"D13Wsu64e"
"Larp5"
"Larp4b"
"C9orf10"
"Ossa"
"Fam120a"
"D330001F17Rik"
"Heatr7a"
"Mroh1"
"9530053N22"
"AI843066"
"D15Wsu169e"
"Kiaa1688"
"Porf-2"
"Arhgap39"
"BC058638"
"Mar6"
"Mart6"
"Ldoc1l"
"Pik4ca"
"Pi4ka"
"B530001K09Rik"
"New1cp"
"Zdhhc14"
"9630033P11"
"C530046L02Rik"
"mKIAA1171"
"Tbc1d24"
"1110020K19Rik"
"AA408674"
"F830021D11Rik"
"mKIAA4127"
"Uhrf1bp1"
"AI132582"
"D130055I09Rik"
"mKIAA4177"
"Pex6"
"A930009H06Rik"
"FHOS2"
"mKIAA1695"
"Fhod3"
"9530003A05Rik"
"C77823"
"PRO2405"
"Camsap1"
"5031422I09Rik"
"9430019K17Rik"
"Armrp"
"p0071"
"Pkp4"
"AI225853"
"BC024558"
"DAP-4"
"DAP4"
"SAPAP-4"
"Sapap4"
"WBP16"
"Dlgap4"
"1110013E22Rik"
"2010005I16Rik"
"3632413B07Rik"
"AI316811"
"AL024039"
"Prkcbp1"
"RACK7"
"Zmynd8"
"1500002J22Rik"
"4833436O05"
"G1-419-52"
"eIF4GII"
"repro8"
"Eif4g3"
"6430596G11Rik"
"AI841135"
"Grlf1"
"mKIAA1722"
"p190A"
"p190RhoGAP"
"Arhgap35"
"BC042901"
"Samd4b"
"A830006N08Rik"
"Ankrd43"
"Sowaha"
"Lrrc8"
"mKIAA1437"
"Lrrc8a"
"9430078B04"
"BC040823"
"Lsm14b"
"ABBA"
"Mtss1l"
"6430517J16Rik"
"Bpy2ip1"
"Map8"
"Mtap1s"
"VCY2IP1"
"Map1s"
