"","SAL_WT","SAL_KO","RO_WT","RO_KO","RO_RAP_WT","RO_RAP_KO"
"Camk2a",16619.5219100196,13807.080519652,15502.4366924243,15089.9904117508,13723.3888470287,8387.74075535385
"Aplp1",16469.934933335,11747.3521764321,11833.1204285296,10098.2577605608,15560.6518109983,8619.58215659412
"Napb",16287.3444115297,14488.694276769,14341.7727528793,16098.7726200053,15957.4643793383,10032.5340160056
"Arhgap32",16211.3432734518,9792.66865793395,17273.3667393312,12414.9782802072,16335.4624676591,6558.77447503991
"Arf3",16187.923407899,12656.3198704971,14131.8429783715,18850.3130570027,15377.5613438058,9772.12630084081
"Olfm1",16158.5978541042,11393.4921612972,12595.3150489113,11061.8186974107,17147.0126932411,8320.51169655214
"Pde2a",15897.0877950383,11066.3370939975,16211.0418732484,9273.8391972632,20098.5863646501,7197.51818317558
"Usp9x",15802.3844013546,12763.8001139043,17146.0673349668,14345.5787132458,17060.6531512832,7574.48854633794
"Tpi1",15726.0607254743,10780.8076253019,13918.2350284659,11733.1806498007,14502.082002777,6744.02251895347
"Camkv",15524.5192262429,12810.8453942037,12666.3266786229,11385.3247159199,17304.7159172175,8897.34889647687
"Nsf",15186.3305952515,13202.5977289541,12598.8851902,13395.9320137512,16448.6643575576,8777.35362870119
"Myo5a",15004.7892136492,12910.797614266,15761.6684293298,15385.6679555496,15488.7962733119,8489.61872345013
"Hpcal4",15003.155168124,10488.1618237058,12441.3267038417,9614.73801246642,16621.5033706576,9393.69306673144
"Nsg2",14859.7808910846,11058.5313404416,11582.136165832,13138.5186226793,14395.0966827228,7890.27427598681
"Enc1",14847.2673408929,11937.824063518,13601.7230482262,13938.5872706053,21170.1965111227,8393.22653588396
"Slc25a4",14775.6468802299,11248.9864944817,15299.938811193,12063.6437869875,13857.267634794,6891.55041295797
"Atp9a",14766.916222292,12508.2436912972,13212.5891017848,10529.599118573,15699.8899889208,7913.78151832766
"Ppia",14630.2394608565,9832.19234947023,12516.7016888806,12689.7844679731,12240.2140217598,6407.38863132906
"Aldoc",14609.7518905053,10638.9487550471,12096.185863567,8438.98495594918,15490.7738209774,7383.38603320135
"Gprasp1",14393.1340020824,12651.1137001622,14241.4045191853,15006.5049876194,14955.0292169461,7599.19275484717
"Cyfip2",14373.9840189792,9859.92062495128,12753.4844999044,10700.0485261746,15574.2626681978,7364.83668206032
"Mprip",14350.4738309388,10493.7680397848,16420.4096889689,9298.18911263486,16989.6226153258,6783.76683639343
"Fat3",14258.9103135755,10780.5698387076,17990.5612594501,13267.2253182152,14894.2737574743,7193.63717874937
"Grin2a",14182.806594419,11753.5922652881,18917.8393386949,17911.1020355245,15539.2190879514,8321.1225313446
"Syt11",14029.5745838587,12366.8721608636,12559.3350645289,13611.6026927573,14516.365017279,9105.90106759282
"Dennd5a",13969.8308512777,7335.080916098,15664.9927564477,4925.6400237527,15060.3096990536,5189.93015503941
"Apc",13949.9199030727,9431.47325559087,18846.1412863188,9044.25428090185,13971.8404183849,5617.62307623854
"Rapgef4",13893.4718173343,9251.3457292139,13811.0126372778,5892.67951994143,15019.7833579362,7002.28534410126
"Rgs4",13833.3736216919,10756.0332248556,12831.2016482836,12279.3144659937,15251.6682777928,7202.01250266697
"Syngr1",13808.0862462742,11971.8773425394,11096.412315244,13528.1172686259,14021.7860833121,9429.63485731924
"Spock2",13806.0882223931,12214.7144368192,12516.3629860273,15632.645668605,14597.7435013148,8945.55905117463
"Huwe1",13730.6097994047,11896.1998186348,15794.0997849247,9604.30233445,15118.2554582011,7564.01485797769
"Ywhah",13676.7148844001,10322.1578117933,11034.1318115248,12334.9714154146,11682.3474132965,6688.23182628925
"Ctsb",13654.1564508111,10578.8046131264,11037.9616653454,9197.31089180941,14129.1561389978,7458.56396342603
"Lynx1",13489.4445747508,11858.8610234937,12338.3081981993,9503.42411362455,13416.1877600206,8125.45383192165
"Ptprs",13448.3375992789,10829.9666586419,12290.0830845179,8957.29029743164,14950.4750045026,7243.44806864844
"Actg1",13248.6869201981,9763.38713736056,10154.8201141369,12811.5340448313,12590.4076762075,7089.73375143153
"X2610507B11Rik",13220.6943684175,8038.70542306955,16548.0399541538,5183.05341482452,14431.2007632712,5080.41454304365
"Dlg4",13198.960326859,9498.82414613975,11983.9909742139,6776.23359199877,14564.3069744293,7091.54445232613
"Rtn1",13176.7886768251,9272.71915183982,10366.9533226859,10449.5922537804,12591.9743302915,6627.49172273468
"Prkce",13157.7474598921,9849.49156875171,12470.3028431106,9517.33835097979,14010.7461038364,7426.23973622659
"Prkar1b",13078.8902074639,8598.52403513855,10032.7303613456,7771.10156289797,13372.6666859183,6440.52108629435
"Akap11",13055.1002767642,9770.00386761193,14449.995190388,13260.2681995376,12267.6021905954,5792.8832803074
"Prkacb",12948.8579153365,10450.2150895852,10086.0042393317,12463.6781109505,13371.4742434151,7867.35017489926
"Fbxl16",12893.136346445,7975.10240149495,10187.9239612965,6244.01401316108,12576.7548740138,6293.70264438675
"Apbb1",12870.4413072815,9554.09358292846,10782.8772182261,8765.96953379717,13414.8245141264,6837.02090616753
"Eif4g2",12834.6812550345,8033.06094207814,12193.0606601759,9642.56648717689,12520.4946639411,5578.02075060932
"Hivep2",12830.9503158768,10702.6787589053,15642.1138226039,11451.4173433573,16036.4351888272,6843.62227778811
"Tcf25",12746.0941560547,9064.58897948703,10651.137457676,8463.33487132084,14238.4600236485,6619.94201459402
"Nbea",12690.3841717141,10584.8838204343,13114.6524331243,10731.3555602239,12706.2201492514,6062.93832162765
"Gapdh",12507.3528386717,8317.45028242922,8734.60472614416,8842.49783925096,12869.8803117993,6664.42969679806
"Mapk1",12450.210641999,11164.5967544834,10386.3925676432,13535.0743873035,11937.9999899615,7463.287306619
"Gnb1",12337.5163294648,8997.70884909877,10777.920071241,8738.14105908671,10465.8271229924,5779.25756019871
"COX1",12282.7667614385,6395.44085655949,12157.8527242723,24916.9205438846,10645.5858569643,6945.76967797236
"Nptxr",12120.8435329765,8825.35056801897,8067.23549951159,9708.65911461425,11971.8523307129,6942.28293881844
"Gabarapl1",12069.8058645621,8951.52039932157,12435.2553681253,12425.4139582236,11051.995805003,6016.14248732028
"Rtn3",12006.4804785966,9218.00523100243,10435.7809834715,12154.0863297966,10926.8807417334,6522.44641576766
"Abr",11943.5660294491,10379.2585477745,10260.0322634235,9635.60936849927,13749.3564988907,7100.72805813704
"Rpl3",11899.5638631667,7566.72136523961,12583.503874203,8738.14105908671,11457.6409456212,4736.55094687867
"Thra",11885.9209627891,7683.8142677862,8283.96295097844,6630.13409976881,12757.511371221,6723.70390108139
"Adgrb2",11774.7526232586,7508.89671067048,12239.058191195,5889.20096060262,13769.0705141299,5714.9539215312
"Arhgap35",11706.1935650937,6992.366822728,13578.0772646553,6821.45486340328,13142.0164462298,4748.01348083447
"Aco2",11607.4277125104,8716.30597521064,10680.7013924772,7611.08783331278,12598.6060487339,5657.96323599357
"Stmn3",11528.1947854034,8094.45645238229,10459.5986423705,9451.24572354243,9168.66790481831,4491.50493574985
"Mef2c",11518.077238384,9533.77185325841,10185.9978155145,12860.2338755747,9613.89750686853,6553.55238798594
"Tef",11495.5638463688,9346.93840335208,9386.84467259451,8254.62131099234,11004.8382892481,6634.59779175758
"Pebp1",11486.1205612374,7643.93993442948,10120.0157346599,8821.62648321811,10210.1170348065,4907.43619660308
"Tsc22d1",11445.413470201,7072.2825810423,9576.87884339688,7691.09469810538,11558.7402577602,5329.01765894273
"Clasp2",11306.6974515233,8766.67664576774,11399.3330576314,8658.13419429411,12321.1042721278,5405.30584472452
"Epb41l1",11269.4327923434,9042.23920080967,11147.5486964335,7304.97461149764,13232.628785983,6638.72812303628
"Rab6b",11218.0750585595,9521.01859515606,9068.17444658944,13625.5169301125,11085.6754039905,7699.94630280176
"Pld3",11050.6429349384,8850.60876707613,8980.69771586739,9315.5819093289,11148.147247062,6400.23404626602
"Rab6a",11021.2379321101,7577.35332685009,8786.42140141235,8703.35546569862,10564.9317359124,5692.08388257348
"Dgkz",11002.2440380938,8699.55184245551,10182.1388400979,6637.09121844643,12957.0736665276,5893.14404655103
"X3110035E14Rik",10976.8241499666,9247.76765329969,12126.2382169686,10428.7208977476,12200.303913118,6558.57270157365
"Rasgrp1",10939.5684416874,8133.32650121083,10708.6651573162,10557.4275932835,12649.1385171513,6429.34106168253
"Basp1",10841.5458899423,6235.86216116573,9451.98102149135,7670.22334207253,11045.983483676,5085.52791649556
"Lrrc4b",10732.2768823081,5472.92971267597,12452.2804970457,4257.75663070148,10486.5588194348,4208.23717929998
"Tspan7",10711.7070581722,8911.96575836054,7585.02923781748,9145.13250172729,10832.5631423835,6882.07295544035
"COX3",10711.4602980765,6018.36306790873,14470.9101761771,28374.6085266601,8042.0350326607,4558.19748579145
"Akap6",10697.5996866374,8513.05366143782,11404.1942769336,9534.73114767383,11598.6594413181,5532.36788518064
"Sept5",10506.8825717218,8539.22059392183,7398.11208095971,6581.4342690255,11727.3267202787,6844.03308199301
"Pum2",10365.9210930017,6089.59837110494,12907.6032624337,6824.93342274208,10281.9453326649,3715.78865664755
"Sqstm1",10296.239053827,8512.2550983087,8779.75806554084,9555.60250370668,11137.287896217,5572.74474973468
"Dmxl2",10255.7924496802,8730.58389549107,10513.76598153,7475.42401909926,11134.3755701775,5182.85993118024
"Tcf20",10238.2838494834,8926.54504656344,11027.8996449832,8379.84944718944,11709.486877908,6902.69126033135
"Pcsk2",10237.9813326536,9082.90910379887,9013.84131352441,8814.66936454049,9737.15651818005,5872.94765591467
"Lmtk2",10237.0517222677,6658.12759170386,12003.9910771551,7732.83741017108,11926.8018110298,5176.07476735952
