"","SAL_WT","SAL_KO","RO_WT","RO_KO","RO_RAP_WT","RO_RAP_KO"
"Pcmt1",4084.0337978606,3642.86886268549,4065.01070078804,3603.7874750055,3905.06889504586,2307.21333564631
"Rps7",4079.12845960081,2484.15945961145,7023.6195799858,3996.86468029085,3449.58257727103,1254.25487342674
"Lrp11",4077.38711462109,3350.57795718994,3375.40885733786,3621.18027169955,4246.33738450119,2516.67392820472
"Trim44",4074.51996116879,3508.3155055596,3974.14547903818,5231.75324556784,3851.4630002625,2530.4121782806
"Dyrk1a",4067.30638108875,3162.75119991312,4239.83411734821,3116.78916757233,4048.84191979226,2095.75148761116
"Nipal3",4063.20986510205,3513.85328622093,3323.74236815788,3701.18713649214,4304.83522807328,2653.30117665626
"Mfn2",4058.54816330664,3369.7719440734,3526.06692835877,3196.79603236492,4262.80324035309,2530.92223602782
"Arc",4054.3827539626,3236.53786662366,5624.60578860313,2685.44780956009,5940.34250423953,2213.57529664581
"Ppm1e",4037.52526118883,3478.29045433019,3731.52410801148,6045.736130849,3995.08244398837,2790.62012530349
"Ddx24",4036.63028337914,3001.6470526771,3695.83702332048,3388.11679599938,4354.32490978031,1978.9918225677
"Map4k4",4031.31985951862,3577.57175075851,5355.13350610738,2782.84747104672,4912.72611492948,2292.90644162946
"Arhgap5",4020.14217129619,2435.04154564849,5166.94860114614,4010.77891764609,3678.88177955951,1266.3164188295
"Tmsb4x",4017.27882867106,3113.19037473975,5118.99748758971,8598.99868553437,3409.7798985808,1742.48571906798
"Eml2",3993.21874960959,3392.60647062676,3263.64841607725,3168.96755765445,3110.29233478391,2217.0717723602
"Zfp148",3990.17199667783,2492.45561615932,4353.14209317307,3836.85095070567,3625.83476564747,1531.47206146421
"Idh3b",3987.68576450557,2986.50717368589,3588.63693390851,2087.13560328504,4050.98537656829,1949.96598501126
"Lztr1",3987.59733331793,2878.16566027798,3792.82099679807,2685.44780956009,4530.92367999136,1983.36131288623
"Cct2",3985.04743685617,2906.47691291288,3882.10279282285,3356.80976195011,4169.97193691081,1811.94983694637
"Zfyve9",3979.47981624899,2918.61407665961,4187.9025093094,2932.42552261548,3986.00139178946,1592.26862232099
"Ephb6",3978.78808393202,3200.31796348559,4224.83025130872,2866.33289517812,4093.33505786464,2361.1410409369
"Rragd",3976.93588767948,3098.59199792013,3419.90506903724,3527.25916955172,3786.6995015383,2408.15972591388
"Gnaz",3975.45498854281,2863.62027903398,4115.0325545153,2657.61933484962,4470.30343432507,2102.50255181733
"Kcnf1",3973.54852575916,3549.90253230789,3688.7088157217,4904.76866771985,5181.60419322743,2566.68160897167
"Klf9",3971.39764346563,3237.01058223497,3767.8786097446,3530.73772889053,4420.6924715719,2522.80757777858
"Sema6b",3966.59334796762,2893.22942224307,3330.05130241223,3179.40323567088,3731.4826486304,2133.75787542592
"Ube3c",3966.24799540286,2618.7753553133,3806.14639494521,2494.12704592562,4421.47289948545,1785.74217934988
"Acox1",3951.79602328358,3418.33771646081,3533.8240187213,3061.13221815139,4237.72468884021,2162.9976519616
"Kpnb1",3937.57619298721,3426.79131790027,3993.16610407882,4243.84239334625,4169.99292151076,2146.25856100458
"Cul1",3927.35237230775,3451.85471776178,3863.17083873448,3353.3312026113,4054.20405073745,1931.73042076201
"Cct8",3924.93784173506,3180.62557281592,3847.30258951346,3384.63823666058,3940.36824193723,1768.48406966981
"Kcnma1",3924.01660017058,3136.02296840137,4139.3046871276,4129.04993516557,3761.83949063795,1993.88879533836
"Cadm1",3923.34540841923,3383.89539488319,3212.16279743508,3875.11510343256,4243.64299477477,2564.19269049717
"Reep1",3916.17068542219,3320.1428046274,3533.05255554468,4191.66400326412,4010.57689605178,2591.17022686608
"Trim32",3909.88336667854,3474.51697318307,3414.39098827437,3875.11510343256,4072.0564290423,2332.6371412631
"Mag",3902.88601034549,3298.60113238974,4246.36036998469,2560.21967336298,4204.45293909482,2419.31496987172
"Ankrd50",3898.62542497755,2218.81583335031,4783.55621399008,2848.94009848408,4988.41477253268,1622.21112472447
"Kcnh1",3894.34995145921,2475.01994888838,4973.71878665248,3812.50103533401,3988.75514864411,1695.78712227469
"Fbxl5",3888.77215303563,2892.43305349284,4896.18083587598,2991.56103137523,3792.72015840434,1404.80273591905
"Ywhae",3881.94500087467,3183.07429410787,3723.4157795819,3975.993324258,3086.96104294928,1827.15169331317
"Aars",3876.46586409501,3358.60812777018,3730.54522404681,3478.5593388084,4302.29461040142,2212.7976186132
"Synj2",3875.65745204911,2766.10060734674,4908.55059256858,3047.21798079616,6311.28814814698,2042.07967301602
"Hspa12a",3872.89866427067,3341.68157818773,3183.33015600094,4623.00536127637,3779.84701466588,2500.33588937916
"Plpp3",3872.08835060609,2853.46262632939,2625.91351843361,1951.47178907151,4087.09711214633,2277.42352264283
"Rgl1",3870.53309323208,2397.58752747354,3373.14387709239,2177.57814609406,4572.67196246435,1715.83024820066
"Jund",3870.09133197472,2587.39672006875,2575.13954844024,1923.64331436105,3975.9152411888,2037.6674057575
"Csnk2a1",3865.05898564171,3103.19374791957,3859.61149097676,3885.55078144899,3695.61100454983,1961.395471601
"Rbfox1",3864.56690561601,2850.78724463591,3449.38820157462,4640.39815797041,4170.51288254008,2353.22510459974
"Actr3b",3861.00296101622,3248.66099046157,3674.6427394454,3057.65365881259,3216.9756569717,1731.62046643296
"Mmp17",3860.46631430061,3076.75316103273,3511.8519051146,3217.66738839777,4610.86707958088,2504.4800744992
"Cdk14",3859.61446806869,2983.71993934744,3377.76501726601,3941.20773086992,3541.45961153583,2161.23973521553
"Vps41",3857.06815644191,2902.7851349221,3600.90910658838,2807.19738641838,4128.00253000551,1934.79673108154
"Pip4k2b",3855.02816010121,3286.6753213995,3470.4468669441,2901.11848856621,4702.02835280169,2732.61177870557
"Sema7a",3852.19947251447,3077.31300271199,4568.40490516519,3360.28832128892,3989.93337408172,1837.97949619179
"Zfp91",3845.67362331168,2705.16121596338,4250.9277146014,3040.26086211854,3907.74488781125,1855.92050361936
"Phactr3",3843.33877888404,2877.89098679421,3560.11379105981,2605.44094476749,3835.29443104563,1977.93978255558
"Acaca",3840.02118768027,3221.95743161397,4002.0514148704,2897.6399292274,4140.12101202356,2016.84585667548
"Chtop",3838.77545879835,3122.23659301988,3762.09286270401,2779.36891170791,3996.73828017133,2035.76087902251
"Rasgrf2",3828.57438448678,2927.48928511088,3618.37922768438,3304.63137186798,4068.34127364984,1993.57051606151
"Ankrd33b",3826.09978476546,2885.10423039578,3766.58212210472,3645.53018707121,4044.56867927683,2300.54309545632
"Rabac1",3823.24410539234,2570.32821510883,3985.39340910281,3276.80289715751,2870.38740357295,1350.43240653133
"Sh3glb2",3821.29957916596,3181.57354454653,3228.1241647088,3064.6107774902,3494.70276438291,1960.90383301259
"Ckmt1",3804.64650182155,2723.97608151243,3009.0232328473,2748.06187765864,3912.12181328918,1835.17617210574
"Ube2d3",3802.65898183972,3131.80351874481,3845.09774308849,5123.91790606478,3872.1022665054,2172.21011906435
"Gprc5b",3801.0473034719,3186.3121751469,3623.74117105426,2111.4855186567,4083.37764919102,2189.05260404197
"Nlgn1",3796.40448935387,2523.83096392277,3925.90110139349,3283.76001583513,3363.23509591369,1600.51281850024
"Mapk6",3791.60032943984,3293.48957013044,3981.0311924058,3269.8457784799,4159.28951947691,2095.05868946093
"Ptn",3780.07840802452,2944.33953240514,3542.74085667204,4101.22146045511,3067.67905633101,1825.04421930353
"Stk32c",3773.77106427174,2409.74340999087,3502.85846197802,2633.26941947796,3505.28827511369,1362.11352168187
"Gnaq",3769.72965509285,3346.50185032683,3592.7102680739,4149.92129119842,3681.48142467848,2202.46777214066
"Agap1",3761.79897738515,3210.89918918914,3982.37240137566,2995.03959071403,4115.7214064102,2286.00059530806
"Grm3",3761.26887268646,2832.72490808581,4127.82703565586,3043.73942145735,3708.50937789033,1978.7047153123
"Rad23b",3757.69347080278,2790.54178075487,3149.02912840846,3829.89383202805,3595.56764719765,1994.77709640028
"Sh3bp1",3749.87050270159,2249.93317918226,2827.42565826884,2320.1990789852,3711.36906241947,1805.66238183452
"Taok2",3744.20914997556,3133.2673511115,3589.64615757143,3443.77374542032,3975.72182241404,2140.97246666262
"Entpd4",3743.91349047833,2575.96062363653,3935.35140028688,2274.97780758069,4641.30863303179,2095.94910907341
"Gm21685",3743.63872631893,2575.62882893431,3932.92922819446,2274.97780758069,4641.74381434993,2096.26017291446
"Sdhb",3743.59680996261,2586.54102200735,3622.33317281024,2348.02755369567,3578.68539909275,1472.12266045608
"Vti1b",3740.5595635581,2615.68614753367,4138.06438934871,2775.89035236911,3566.97918626174,1422.2186657172
"Pcnx2",3731.26198351704,2824.35180865176,3952.86197826377,2671.53357220485,4044.11679580618,1899.68903007459
"Lrrc4",3724.11055957641,2122.85316784173,4061.43023336882,1902.7719583282,3657.2336682006,1626.69897749207
"Fam234b",3721.29930844642,3170.10620965804,3308.11862902721,3130.70340492756,3962.27810224968,2316.91932270081
"Fbxo21",3720.08252108048,3191.26313218765,3130.5328868399,3120.26772691114,3844.33970199504,2246.31155807521
"Gramd1b",3718.85125188865,3150.23397114298,3583.03790332071,3624.65883103835,4607.13033146097,2152.14475362246
"Ipo7",3714.04682115789,3309.51565510978,4384.69391549071,4014.2574769849,4395.92535866228,1899.39761254833
"Kcna6",3713.76238565961,3309.74068812572,3420.63712751302,3353.3312026113,3857.47643265408,2400.47984655194
"Atp5c1",3710.4758693111,2179.91695338819,4269.62854615802,3008.95382806927,3353.89370801866,1325.45072655432
"Ptpra",3709.70105536305,2885.10012161308,3152.50594699768,2588.04814807345,4244.17767092407,2180.16044916221
"Zfp706",3700.315959725,2721.0233095727,4003.43754306646,3962.07908690277,3270.77413503297,1622.81716543152
"Gfap",3696.7947031969,2442.51594045655,2971.26246260754,1972.34314510436,4072.07996552383,1973.13006616745
"BC005537",3694.22844705304,3006.43950371754,3011.88599880167,2497.60560526443,3160.75424115245,2154.07122700314
"Pdxk",3692.26914803538,3310.47439612087,3372.46162023025,3203.75315104254,4174.25011286947,2359.75705952513
"Map1lc3b",3688.84871432983,2980.15367447767,3037.71972958206,3022.8680654245,4044.82671917992,2383.81650650006
"Tpm1",3683.4809836123,2765.81266030147,3323.66408075672,3763.80120459069,3960.30405945862,1933.61489467946
"Eid1",3682.00990120278,2780.87734324885,4089.0444992541,4956.94705780197,3125.41166356908,1655.35991646516
"Rabgap1",3678.39253511409,3215.85783010567,3701.60050526284,3301.15281252917,3691.4266055204,1841.22498157125
"Mgrn1",3678.02087727206,3005.8477879059,2788.94568625811,2702.84060625413,3781.56234319104,2211.79565239871
"Atp6v1d",3673.87767859075,2770.37560177994,3605.58105213992,3767.2797639295,3587.00680255371,1761.82375337145
"Cnot1",3672.78533822373,3231.10772684983,3566.26489105965,3311.5884905456,3662.83609500049,1807.78395295657
"Mff",3669.29643531873,2963.49840180777,3485.76263692471,3092.43925220067,3663.74164134853,1969.77911455567
"Serpine2",3664.34180860305,2883.22467004171,2954.60922196829,2640.22653815558,3790.80475769019,1713.67481995673
"Mmd",3663.98525999055,2369.83957653549,3017.93166946842,3210.71026972016,3717.35669633519,2001.63108170251
"Pik3ca",3661.32391391859,2865.17042385707,4274.43740151761,2848.94009848408,4227.91296431782,1789.09171721739
"Med13",3660.59359257159,2867.92367528032,4198.29028543596,4195.14256260293,3843.13325969128,1937.56916062091
"Vdac2",3657.25971284762,2632.96706150048,3259.95183869615,2685.44780956009,3694.12556868223,1837.46892516117
"Scn3a",3654.98316054121,3141.43447682943,3943.62756666078,3941.20773086992,3928.2643315547,2103.19409404682
"Stard7",3654.74788538178,3147.33779864825,3295.58756928528,3064.6107774902,3614.02507668221,2115.41925485129
"Fbxo18",3653.13601847836,2810.39553486909,4437.42027590048,2998.51815005284,4246.51502930523,1550.1260714823
"Adar",3652.50497737321,2909.53903950177,3730.99098175798,2612.39806344511,4680.93677075569,2355.27066548655
"Ier5",3647.64360731557,2973.99036014424,4472.90452302256,3652.48730574882,4818.32326795683,1993.01597996312
"Atp6v0e2",3646.67915460647,2382.42932243443,2797.36144292177,3429.85950806508,3327.23365481303,2038.00138814141
"Jak1",3646.26065766316,3213.60489793591,3344.96418713202,3141.13908294399,3711.45853935911,1976.41500412443
"Asphd2",3646.18922632921,2320.09676369026,3034.34179380077,1826.24365287441,3322.90040331812,1715.45303627431
"Wscd1",3635.17049312914,2368.29328697413,3510.72576472801,1812.32941551918,3940.67985817745,1704.09286504547
"Rps5",3631.93770928278,2006.09406334446,4119.43557472768,2626.31230080034,3175.0622596361,1116.35312523175
"Stox2",3631.49006810501,2736.42705842212,4136.71799813682,3057.65365881259,4090.66749793878,2061.45978376926
"Foxk2",3628.011359687,2618.63602932661,4070.24855736111,2476.73424923158,4041.69472183658,1846.6201773255
"Nacc2",3627.01120091624,2845.67317521809,3390.84422363014,2574.13391071822,3860.60696466155,2133.00468794109
"Syt4",3626.03359019733,3151.89274525427,2855.63613605354,4028.17171434013,3624.45066120671,1983.07765931399
"Sdc3",3621.66000392176,3000.66343212028,2832.56020437166,3224.62450707539,3514.6087477773,2168.94136924153
"Ndst1",3620.54605741989,2367.23106238686,4047.589494222,2021.04297584768,3857.0721469118,1926.84742302045
"Akt1",3619.71606436423,2540.77860003167,3047.21524215405,2121.92119667313,3340.84162226033,1644.70240891107
"Rasl10b",3618.72907877372,2974.9697784771,3419.89370341421,2393.24882510018,3041.87395340206,1871.855163159
"Camkk1",3609.9236955948,3166.98394391757,3392.91828343055,2810.67594575719,3766.59169080565,2173.89930124059
"Fem1a",3608.84307566157,2753.24583707805,3632.04902983527,2855.8972171617,3599.19760945999,1917.81334650811
"Snx25",3606.46721599928,2590.25376581078,3923.97558292584,2045.39289121934,4381.66757319365,1559.90838270842
"Rapgef1",3602.02315142598,2725.62824800474,4131.4102743518,2010.60729783126,4175.96954607908,1792.63543393543
"Csnk1g2",3600.61218303914,2237.62412101386,4023.74688843841,1767.10814411467,3849.50480118882,1544.27003783785
"Agap3",3600.07670564672,2844.72043326725,3261.58914579792,1683.62271998327,4645.38845793356,2200.57847076547
"Gabrb3",3599.01310485301,2517.57421785308,3109.0998478827,3433.33806740389,3412.6064376455,2112.08230045217
"Paqr8",3597.31424972796,3218.43823235895,3231.96067435413,2462.82001187635,3869.44217367163,2272.23024026305
"Fam134a",3576.71685028745,2366.48682487257,2888.54375326057,2285.41348559712,3577.49319298663,1833.46151162294
"Asrgl1",3570.29241770461,2905.57457776983,3673.12199373111,3064.6107774902,3407.72721778359,1884.74051050645
"Sez6l2",3570.04584062988,2783.63759716444,2732.90847520998,2017.56441650887,3892.71872157372,2135.36075518537
"Rpl41",3562.88490524611,1803.00078211215,4691.04387614102,4511.6914624345,2778.905489983,1013.03073091886
"Robo2",3562.45635599005,3095.12572084432,3251.92547268938,4125.57137582676,3558.76322964645,1980.70019687288
"Dip2c",3562.11896670884,2984.55171486409,3729.72704584016,3575.95900029504,4273.80654871011,2019.45835423027
"Gpbp1",3555.91603404034,2269.49590230446,4089.05331868683,2946.33975997072,3426.42483850109,1307.0695209426
"Clasp1",3549.70812213385,2872.05859633715,4169.30420330518,4083.82866376106,3811.39329642154,1842.99456486746
"Rasal2",3540.71727336105,3133.92345017868,4056.29769254031,4365.59197020454,3567.09915778068,2013.23540281362
"Elmo2",3539.55360820345,2749.3114980319,3137.78832639277,2709.79772493175,3953.57712131135,1878.31068580886
"Trpc4ap",3536.82269354563,2920.10957145722,3296.83189103041,2577.61247005703,3661.79799804695,1649.20495333029
"Camsap1",3535.19065201756,2665.93615826464,3701.37883393066,3471.60222013079,4365.68932916839,1901.07939491044
"Sdcbp",3534.49586466735,3066.46237494022,3325.31074265345,3391.59535533819,3460.61671961783,1954.18848205948
"Fxr2",3531.42217048831,2574.09293048506,3699.88329964214,2556.74111402418,4414.41737470827,1700.14948132728
"Wdr1",3528.09404822176,3048.25423068156,2970.91219969817,2751.54043699745,3599.40678393144,1943.25416976633
"Frmpd4",3527.42412417035,1982.46282006832,3849.983265563,2504.56272394205,3722.46182869516,1431.91487989226
"Ppp1r37",3524.79059237578,1986.46276557173,3649.1270926876,2201.92806146572,4425.26523059254,1432.77007511092
"Nars",3523.41231989138,3031.02203117213,3813.72047751429,3443.77374542032,3748.87686933541,1936.3934226527
"Ipo9",3520.97558083192,2926.42818776263,3515.61568348138,2539.34831733013,3757.23764290037,1999.4632091881
"Cplx1",3520.42697516996,2737.53556354217,2466.20746891759,3231.58162575301,3749.00776935191,2334.86555200287
"Ppp1r12c",3520.0117230958,3131.66692203787,3537.8392810869,2880.24713253336,3886.18695540684,1808.81203258965
"Pou3f3",3519.20937175289,2366.67692169769,4344.44339965278,1986.2573824596,3997.87433868754,1910.71459845831
"Tiam1",3518.08605275526,2806.41993694118,2803.87441236383,2862.85433583932,3659.09123603898,1624.0830956539
"Fam155a",3515.82048083412,2386.73129796847,3142.45076159254,2250.62789220904,3549.01685375149,1934.73191176267
"Gprasp2",3513.11078703485,2955.78861725518,3343.68591814983,3252.45298178586,3552.43039462449,1849.03489027988
"Cacnb3",3512.70667205333,2201.46190001796,3031.61730650189,1923.64331436105,3907.1875192195,1640.19906167285
"Lrrc7",3511.48360074312,2511.28905542329,4096.95777439977,3433.33806740389,3685.80263393002,1702.38712328751
"Rc3h2",3507.66879151701,2868.12501488481,3968.22967878306,4003.82179896847,3584.77101654404,1681.57156515285
"Ccni",3507.1180092309,2348.56903635562,2738.41264501705,3012.43238740808,3016.38952130162,1796.6834154993
"Wdr47",3506.51035787927,3143.71675220288,3424.83303339098,3655.96586508763,3677.18218391879,1863.64992739478
"Psma7",3505.97980094396,2300.00050223261,4244.43462066941,2114.96407799551,2998.76600519685,1142.64036474314
"Lrfn5",3504.15685984686,2112.27832832861,3593.53358566054,2428.03441848826,3449.31100132822,1637.92476141849
"Rubcn",3504.151573623,2645.72531655588,3886.05990202146,2601.96238542868,4427.03378673661,1805.75543252855
"Ncoa1",3501.81747177109,2323.07414898233,3369.71452166543,1972.34314510436,3910.94482169159,1668.17984917911
"Slitrk1",3498.37692781165,2572.31911759465,3367.64114115392,2678.49069088247,3093.20943194847,1846.13351977364
"Setd5",3489.29515818821,2853.81511729632,3796.60231484882,3530.73772889053,3210.68270886767,1901.29408326703
"Tpt1",3485.95804194875,2059.20481127416,4285.42716907692,3130.70340492756,2949.77333557287,1064.57663217527
"Coro1a",3485.28482609007,2768.74687643516,2768.77680798996,2807.19738641838,3066.44017970362,1581.9824322619
"Vapb",3480.82705568301,2947.03192324947,3603.70771428924,3440.29518608151,3413.92285672414,2010.75601325255
"Dusp3",3479.76411644751,2691.49444525217,3324.60207533037,3262.88865980228,3398.32487171562,2307.5205949457
"Ski",3479.61727478922,2691.24810803765,3429.21178181445,2330.63475700163,3875.23938146712,1988.42763379445
"Tmem179",3475.53030188685,2645.3128214972,2789.92592293163,3398.55247401581,3358.50135048325,1923.73607812551
"Myl6",3472.49594966897,2437.11066085425,4085.93065635238,3534.21628822934,2786.6205015179,1258.10996391486
"Src",3470.38350098637,2420.14816813919,3254.01777645453,2177.57814609406,3519.88832330821,1816.46467406242
"Ankrd12",3469.85093089976,2812.74052466377,3987.10294628124,5475.25239928443,2984.70541278617,1477.97272136001
"Pitpnm1",3469.57847987369,2894.60585000099,2958.16087440873,2445.42721518231,3564.01571082344,1622.75344262643
"Mras",3463.54519407461,2368.11538557918,3039.44250243286,2469.77713055397,3868.68463121178,2027.07225416451
"Setd7",3457.64115111646,3059.00104330237,3527.97783455452,3784.67256062354,3830.46676545358,2054.87117102383
"Epm2aip1",3456.98309587642,2897.67948744453,3942.85599041831,4529.08425912854,3493.65680057676,1800.16993372772
"Fbxl19",3449.84608587616,2606.59169870748,3818.28609380999,2668.05501286604,3941.1789153399,1848.93471307309
"Tex2",3449.59806569789,2158.937270816,3349.49719449249,1850.59356824607,3917.59902871758,1610.96774461428
"Cltb",3448.38377978817,2712.05276810878,3431.51691578671,3777.71544194592,3040.84427830161,1558.30389951175
"Wdr82",3447.97966903389,3048.32933077005,3030.10994923992,3328.98128723964,3845.28688555188,2115.27690938102
"Gnb2",3447.34648314565,2521.57407593167,2787.50309685738,2720.23340294817,3877.80108697073,2060.44334892968
"Actr1a",3442.65237143496,2460.70499713988,2915.76339857329,2873.29001385574,3715.6170460346,2001.35758414105
"Megf9",3439.0691222403,2465.07294002289,2834.890173579,3106.3534895559,2627.19005552758,1766.21161990795
"Vgf",3436.56256027468,2531.71254427246,2701.64931795773,2466.29857121516,4976.59917229469,1929.66970799562
"Ssx2ip",3434.7069452239,2975.13720195997,3979.67456214802,4024.69315500132,3243.75264258717,1777.12921180129
"Dbn1",3430.97165655637,2347.04044156203,2989.64012551308,3033.30374344093,4075.07176673617,1753.91639699402
"Map3k12",3430.0858022121,2712.94148837376,3107.75246904514,2334.11331634044,3771.76193318517,1797.17302899023
"Lgi2",3414.08508849737,2983.75269865171,3157.66189752329,3408.98815203223,3105.83837208563,2001.16174848296
"Cct5",3413.21831788254,2517.59687014752,3382.82058331706,2417.59874047184,4073.13588397171,1569.96848615623
"Chmp4b",3410.00802812219,2609.30923654797,2955.741726133,2247.14933287023,3224.60379541956,1626.2434381308
"Grk3",3404.4513209528,2723.48725213363,3728.96092046239,2636.74797881677,3693.41318398425,1918.38307235882
"Hdac5",3398.36088828046,2857.17468703,3192.98211506452,2772.4117930303,3726.59274224908,1880.82488168289
"Dhx30",3395.82573820844,2846.74458395102,3395.09856775157,2772.4117930303,3910.83279752487,1751.45032059851
"Mgat5",3395.43743713634,3009.9946770957,3209.94905267186,3269.8457784799,3597.32328790407,2192.56601752976
"Dcaf5",3393.14714831788,2333.59778535278,3830.16768093516,2619.35518212273,3570.42786685474,1640.47302755748
"Ptpa",3390.10944828845,2340.70333190133,2722.10656734184,2570.65535137941,3394.02059871987,1607.15492856889
"Rap2a",3386.25388013695,2667.52206660395,3166.27755879004,3207.23171038135,3590.81962911747,1969.27273115929
"Clptm1",3385.86710732513,2509.39404461381,2927.06759509432,2459.34145253754,3607.30733396358,1735.14891246694
"Fam20b",3385.07397989953,2271.2316426482,3523.34740324659,2650.662216172,3365.40589174596,1665.29827325183
"Chrm1",3384.39820426684,2420.27786144807,2869.78112736047,3109.83204889471,3375.02373297085,1875.56080641234
"Dapk1",3381.00094710339,2498.93983001003,3208.81004305659,3248.97442244705,4000.96500574068,1744.36989652839
"Dnajc27",3379.82585512749,2896.25047181191,2883.27656075351,2925.46840393787,3051.93975082234,2224.85992299142
"Stxbp5",3378.35246178628,2928.22344121428,3269.36647706888,2998.51815005284,3402.53364984475,1891.07951877576
"Bin1",3375.14715002598,2683.29737462876,2919.24554159965,2080.17848460742,3671.69006367416,1942.3882605632
"Gnal",3374.08758385183,2289.52939877523,3086.97366369567,3057.65365881259,3578.87037981934,1525.5348195168
"Atxn10",3370.61762754261,2651.377096129,2834.99398577379,2831.54730179004,3281.97602632084,1675.25128744469
"Rab1b",3365.472399163,2080.14445129468,2772.92826116062,2215.84229882095,3002.13348830098,1532.07690465019
"Cox8a",3363.14984372959,1949.50707534339,3808.48051313,3120.26772691114,2806.65162385587,1408.2343325934
"Hp1bp3",3362.9249632246,2955.90384710451,3082.01367465148,3426.38094872628,3417.24105729385,2063.43748365107
"Arf5",3362.08782047166,2821.67911582337,2671.12383585278,2605.44094476749,2771.88005612229,1569.65501510832
"Ubqln1",3359.48101736307,2529.43959287124,2941.96852161568,2574.13391071822,3667.38335130849,1683.10799998078
"Tmem132d",3359.25450816976,2514.57890096257,3845.85896857971,2716.75484360936,3029.68224600895,1663.81989927341
"Bcr",3357.02684896257,2369.19843175656,3234.30431955194,2354.98467237329,4258.62758077753,1726.19677943541
"Lmbrd1",3355.68628025845,2770.13823785009,3109.39518782018,3934.2506121923,3117.60344009862,1949.94908533377
"Brsk2",3354.20099738222,2795.31945968333,3102.96509229796,3311.5884905456,3704.65352730425,2035.40708851632
"Khdrbs3",3352.5645817942,2301.6467481277,3458.59064208562,2375.85602840614,3872.33679626914,1617.75201954486
"Nlk",3350.9992775231,2130.9946955246,3343.43454758793,2793.28314906315,3826.60454492016,1779.0672164794
"Efhd2",3350.45928410918,2609.05257606368,2678.44211097329,2236.7136548538,3658.30157110634,2036.02556295426
"Pds5b",3348.97776083422,2450.38419499812,3654.87204364971,2741.10475898102,3582.7185829951,1474.03526111408
"Bag6",3347.37508453074,2421.1290011532,2888.94323348293,2706.31916559294,4085.2569164354,1750.00340039981
"Scap",3346.41471407899,1914.33892993248,3215.96033714393,1638.40144857876,3847.18882316766,1312.50473810553
"Plekhm2",3346.23898625887,2337.2539663474,3729.32738836863,1725.36543204897,3473.64866328692,1485.33066748767
"Prex1",3345.66035111269,2334.21603520579,3520.79799086946,1881.90060229535,4130.87609743564,1649.35627574364
"Bcl2l1",3344.84401947986,2745.80555778406,2913.06275940647,1854.07212758488,3811.4091122069,1891.38465790863
"Ralgds",3344.40309513479,2021.5016864059,3545.891418295,1415.77365089502,3601.87075636103,1405.37614676408
"Hap1",3343.97779647527,2076.62762670558,2217.76612764934,2014.08585717006,3395.85833813389,1377.14503869001
"Abl2",3332.42678038986,2975.4901256477,4329.63976096018,5123.91790606478,3600.41535472511,1948.319392126
"Bri3bp",3331.10475301973,2896.78426446301,2848.85953710285,3405.50959269343,3604.52520028329,2526.79745662199
"Rbm15b",3328.87644669946,2322.92954907334,3666.59075171772,2149.74967138359,3716.92405388896,1817.68886763635
"Uhrf1bp1l",3328.79248151966,1970.74778133572,3420.64542824478,1892.33628031177,3249.2184768025,1256.68678270002
"Dvl1",3325.84783668054,2977.76391704673,3366.47811312754,2000.17161981483,3723.97977177556,1798.24487451926
"Map2k4",3325.82612058841,2922.09221805315,3027.67871769868,4003.82179896847,3264.94367350463,2080.63138353552
"Cask",3324.69152011124,2924.20668344575,3333.31965621239,3151.57476096041,3100.29962912136,1836.6593562857
"Hecw2",3322.45176607482,2599.36439834432,4254.82953213023,3168.96755765445,2651.56730300779,1528.91941428515
"Snx5",3319.47628735605,2171.09959134646,3891.5115505976,2128.87831535074,3318.91523339826,1274.6462757721
"Bcl11b",3318.12142008351,2880.22460125642,3290.90367108905,3224.62450707539,3958.86657198695,2034.76609663632
"Dgkb",3317.9954823689,2901.56787293578,3318.51967032644,4073.39298574464,3590.51950066144,1846.79833990801
"Mtor",3316.83826113932,2684.10373716414,3182.51877633677,2236.7136548538,3557.12987071618,1789.18219889707
"Zc3h7b",3314.29487920535,2529.61769513134,3322.11542794597,2848.94009848408,3540.588964458,1893.9742322091
"Zmynd11",3306.76993592534,2921.04258455674,2983.7558353848,3502.90925418006,3503.35892103859,2092.2551303029
"Iqsec2",3304.3640779074,2566.98910544136,2958.71604465982,2149.74967138359,3309.03141515759,1861.10054800847
"Scg2",3302.27117744718,2449.6840132794,3408.65891450049,2692.4049282377,4108.88802496765,1717.99548950768
"Ptma",3297.43003131536,2476.94356813116,3297.79667534775,3541.17340690695,2980.92386607702,1570.02007665462
"Ttc7b",3296.31431786543,2463.07239554139,2893.70804370937,2313.24196030759,3244.50060325492,1702.82470394107
"Vdac3",3282.03320546116,2819.88336327391,3310.28937438985,3151.57476096041,2998.45578690121,1493.00878593633
"Zfp651",3279.07997827746,2202.78492465445,3860.67346530186,1906.250517667,3417.087916053,1600.9600461259
"Ppp2r5b",3278.88331109548,2195.40753734636,2409.3545603093,1739.2796694042,3366.21586288169,1702.12373504136
"Prr14l",3278.8674085274,2041.35986481217,4650.47364624727,3068.08933682901,4283.14646635868,1468.19425257172
"Sept4",3275.66131184455,2697.58128538578,3365.01528192466,2194.9709427881,3137.36867709389,1524.70452001625
"Nomo1",3275.40393909366,2490.94339986864,3147.10355356547,2327.15619766282,3676.76327511127,1671.63002238445
