Selplg
Tmem119
Tnf
Ccrl2
Ncf1
Bcl2a1d
Osm
Ccl4
Rgs1
Gdf15
Il10ra
C1qa
Gpr183
Csf1r
4632428N05Rik
Ccl3
Slc15a3
Cd37
Olfml3
AF251705
Itgam
Lrrc25
Tlr2
Csf3r
Ccl9
P2ry13
Ccr5
P2ry6
Cd83
Pld4
C1qb
Bcl2a1a
Laptm5
Gngt2
Ctss
Cbr2
Trf
Slc2a5
Ltc4s
Cx3cr1
Fcrls
Tlr9
Trem2
Rcsd1
C5ar1
C1qc
Capn3
Hmha1
Gna15
Fcgr3
Tnfrsf1b
Rasal3
Fcgr2b
Ncf4
Nlrp3
Slco2b1
Slc11a1
Irf5
Slfn2
Lrch4
Il1a
Cd33
Crybb1
Tyrobp
Rab20
Bcl2a1b
Vav1
Unc93b1
Tlr7
Ccr1
Zc3h12a
Inpp5d
Gpr84
Cd300a
Nfam1
Abcc3
Tmem63a
Cyth4
Cd14
Mpeg1
Cd52
Sash3
Nckap1l
Fcgr1
Cd68
Plau
Slc25a45
Ptafr
C3ar1
Sfpi1
Tgfb1
Gp9
Blnk
Il21r
S100a9
Ccl6
Tgm2
Tmem173
Lpcat2
Tbxas1
Adora3
Pik3ap1
Cd300lf
Lyz2
Snx20
Ccr7
Ccr6
Siglech
Osgin1
Tnfaip2
Bcl2a1c
Cd53
Lrrc33
Kcnk6
Cd86
Lag3
Fgd2
Rhoh
Alox5ap
Hfe
Stab1
Ptpn6
Slc7a7
Itgb2
Fam167b
Lyl1
Ncf2
S100a8
Siglece
Hk3
Cd180
Emr1
Ms4a6d
Adrb2
Cd74
Evi2a
Arhgap25
Was
BC013712
F11r
Myo1f
Fcer1g
Batf
Tifab
Lcp1
Hcls1
Ikzf1
1810011H11Rik
Neurl3
Dok1
Arhgap9
Icosl
H2-Oa
Grap
H2-Aa
Ang
Mlxipl
Sh3tc1
Parvg
Cyba
Ly86
Rac2
Lair1
Tmem37
Irf8
P2ry12
Entpd1
Slamf8
Clec4a2
Ctsh
Abi3
Plcg2
Tlr13
Fcna
Ugt1a7c
Gpr34
Lrmp
H2-Ab1
P2rx1
H2-K2
Rab32
Ecscr
Ccl2
Dock2
Havcr2
Arhgdib
Ms4a6b
Cxcl2
Rin3
Ptpn18
Angptl7
Hexb
Card9
Tcn2
Syngr2
Sult1a1
Plaur
Smagp
Fermt3
Fes
Gpr157
Sqrdl
Ccdc88b
Cd209f
Niacr1
Rnase4
Il6ra
Bcl3
Lyn
Acp5
Hspa1b
Ccl12
Icam1
Pon3
Itgb5
Hk2
Stat6
Edn1
Pmp22
Ptgs1
Lcp2
Ngp
Cryba4
Fyb
H2-Ea-ps
Wdfy4
Myo1g
Hck
Irf4
Klhl6
Adap2
Rhbdf2
Hcst
Runx1
Tnfrsf17
Csf2rb
Tnfaip8l2
Rhog
Ctsz
Hlx
Gsdmd
Arap3
Ucp2
Ccl7
Folr2
Psmb8
Tmem204
Plcb2
Zfp36
Hmga2-ps1
Gm10790
Btk
Lpxn
Birc3
Ms4a7
Sparc
H2-Eb1
Samsn1
Anxa3
Ms4a6c
Ccl24
Hspa1a
Slamf9
Alox5
Cd82
Cxcl16
Abhd15
Cst3
Npl
Glipr1
Apbb1ip
Ctsd
Cmtm7
Arhgap30
Tifa
Ccl22
H2-Ob
Hmox1
Plekho2
Fam46c
Clec4a3
Fhl3
Tcirg1
Oaf
Abca9
Galnt12
Cyp27a1
Atf3
Il10rb
Ggta1
Tmem52
Sp110
H2-DMb1
Cst7
Lyz1
5031414D18Rik
H2-T24
Plek
Uba7
Csf2rb2
Arl11
Pik3cg
Cd84
Nfkb2
Clec4n
Gal3st4
Pf4
Rps6ka1
Tnni2
Traf5
Tmc6
Emp3
Clec10a
Lgals9
Elf4
Asb2
Phyhd1
LOC547349
Nfkbid
Dusp2
Tlr6
Bst2
Arl5c
Arhgap27
Cfh
Mapkapk3
Pycard
Ttc7
B2m
Il1b
Myo7a
Myo18b
Prdm1
1700017B05Rik
Siglec5
Capg
Irak2
Il16
Gbgt1
Lrrk1
Tnfaip3
Renbp
Lgmn
Il12b
Dnase2a
Plod1
Tgif1
Psmb9
Cd163
5430435G22Rik
AB124611
Ticam1
Pnp
St3gal6
Kcnk13
Man2b1
Pnpla7
Tor3a
Mertk
Fam83g
S1pr4
Txnip
Tlr12
Lefty1
Tubb6
Tmem8c
Lyve1
Clec4a1
Tmem140
Tec
Arhgap22
Gimap1
Fam107a
Sdc4
Tnfrsf1a
Ticam2
Itga5
F13a1
Grin2c
Pik3r6
Fli1
Dock8
6030468B19Rik
Cd48
Ch25h
Galnt6
Lfng
Cebpb
Gpsm3
Rasgrp3
Rab3il1
Retnlg
Cmtm6
AI467606
Traf3ip3
Casp8
Retnla
Tlr1
P2ry2
Cyp4v3
Casp4
Arpc1b
Ctsc
Fam176a
Fam26f
A630001G21Rik
Dennd1c
Susd3
AI507597
Map3k8
Arhgap4
Nfkbie
H2-T23
Rbm47
Cd209g
Litaf
Pla2g15
Sat1
Sgk1
Sepp1
Ccl5
Slc37a2
Hvcn1
Tnfrsf14
Ier3
Tln1
Elovl1
Mdfi
Stard8
Lilrb4
Sft2d2
Col27a1
Nfkbia
Lst1
Swap70
Abhd1
Srgn
Nfatc1
B4galt1
Psd4
Itpr3
Ptprc
Nat8
Vamp8
Liph
Tnfrsf12a
Gpr77
Agmo
Slc40a1
2010002N04Rik
Tagap
Smpdl3b
Itgae
Calhm2
Naip2
Nuak2
A830007P12Rik
Acads
Hhex
Tlr5
Smad3
Il7r
Mrc1
Gimap6
Bhlhe41
Mlph
Grn
Glul
Cyp4f15
Daam2
Lpar5
Xlr
Cd5
Gjb6
Atp13a4
Adamts1
Sipa1
2610528A11Rik
Slc5a10
Fhod1
Rnase10
Lsp1
Tnfrsf11a
Lgi4
Tgfbi
Slc46a3
Epha2
Hes1
Zbtb7b
9030625A04Rik
Cd79b
Ninj1
Ctsa
Tgfbr2
Gm11428
Plcd4
Camp
Rgl3
Msn
Bco2
